IRUC;NroEstablec;CodSector;CodFormato;CodCapitulo;FlagEstablecimiento;Clave;texto1;dato1;dato2;texto2;texto3;texto4;texto5;FAC_EXP
00000029442;000;015;M;00;1;00;2;1718880;1640250;12;LA EMPRESA SE DESARROLLA EN LA ACTIVIDAD DE RESTAURANTE Y SERVICIO DELIVERY DE COMIDA POLLO A BRASA;SERVICIO DE COMIDA EN RESTAURANTE Y DELIVERY;5610;15.5
00000110064;000;015;M;00;1;00;1;1010147;898467;12;RESTAURANTES BARES I CANTINAS;VENTA DE COMIDA;5610;12.6
00000017679;000;015;M;00;1;00;1;1666235;1610715;12;RESTAURANT;RESTAURANT;5610;12.6
00000129542;000;015;M;00;1;00;1;1053927;393273;12;ELABORACION DE PIZZAS;PIZZERIA;5610;13
00000178109;000;015;M;00;1;00;1;1058616;667128;12;LA VENTA DE POLLOS A LA BRASA COMIDAS ORIENTALES  BEBIDAS GASIFICADAS Y SERVICIO DE MOVIL DE COMIDA;LA VENTA DE POLLOS A LA BRASA COMIDAS ORIENTALES  BEBIDAS GASIFICADAS Y SERVICIO DE MOVIL DE COMIDA;5610;12.6
00000120918;000;015;M;00;1;00;1;1181450;947445;12;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;5610;12.6
00000133881;000;015;M;00;1;00;1;936173;205939;12;RESTAURANTE;SERVICIO DE ALIMENTACION;5610;2.75
00000176908;000;015;M;00;1;00;1;1482874;482996;12;RESTAURANTES;RESTAURANTES;5610;12.6
00000154978;000;015;M;00;1;00;1;1450502;1020600;12;RESTAURANT Y HOSPEDAJE;RESTAURANT Y HOSPEDAJE;5610;57
00000051838;000;015;M;00;1;00;1;1929809;1392931;12;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;5610;2.75
00000157650;000;015;M;00;1;00;1;850499;761195;12;RESTAURANTE BARES Y CANTINAS;RESTAURANTE;5610;2.75
00000175496;000;015;M;00;1;00;1;715879;2105825;12;CONSECIONARIO DE ALIMENTOS;CONSECIONARIO DE ALIMENTOS;5629;20.333333
00000170785;000;015;M;00;1;00;1;1966248;2084118;12;CAFE RESTAURANT;CAFE RESTAURANT;5610;7.2
00000166699;000;015;M;00;1;00;1;1143728;816867;12;VENTA  DE COMIDAS;ACTIVIDAD DE RESTAURANTES  Y DE SERVICIO MOVIL DE COMIDAS;5610;4.857143
00000167138;000;015;M;00;1;00;2;1126182;787253;12;5610 ACTIVIDAD DE RESTAURANTES Y DE SERVICIOS MOVIL DE COMIDAS;CAFETERIA;5610;4.857143
00000159493;000;015;M;00;1;00;1;1175160;1243446;12;CHIFA;RESTAURANT;5610;4.857143
00000176253;000;015;M;00;1;00;1;916186;167525;12;RESTAURANTE;RESTAURANTE VENTA DE PIZZA;5610;4.857143
00000138080;000;015;M;00;1;00;2;1805227;1844422;12;ELABORACION DE COMIDA CHINA;SERVICIO DE COMIDA BEBIDAS;5610;47.321429
